Population,Infected,Detected,Recovered,Death Toll,Time Elapsed,Infected Rate,Recovered Rate,Death Rate
430,0,0,0,0,50,0,0,0
430,8,0,0,0,8100,8100,0,0
430,9,0,0,0,13300,13300,0,0
430,10,0,0,0,14600,14600,0,0
430,11,0,0,0,14900,14900,0,0
430,12,0,0,0,15050,15050,0,0
430,13,0,0,0,19500,19500,0,0
430,14,0,0,0,24550,24550,0,0
430,15,0,0,0,25750,25750,0,0
430,16,0,0,0,25950,25950,0,0
430,17,0,0,0,26350,26350,0,0
430,18,0,0,0,27000,27000,0,0
430,18,1,0,0,29250,27000,0,0
430,20,1,0,0,29450,29450,0,0
430,21,1,0,0,29500,29500,0,0
430,22,1,0,0,30250,30250,0,0
430,23,1,0,0,31000,31000,0,0
430,24,1,0,0,32550,32550,0,0
430,25,1,0,0,33150,33150,0,0
430,26,1,0,0,36300,36300,0,0
430,26,2,0,0,37250,36300,0,0
430,26,3,0,0,37850,36300,0,0
430,26,4,0,0,38250,36300,0,0
430,27,4,0,0,38650,38650,0,0
430,29,4,0,0,39650,39650,0,0
430,30,4,0,0,41400,41400,0,0
430,30,5,0,0,41800,41400,0,0
430,30,6,0,0,42600,41400,0,0
430,30,7,0,0,43400,41400,0,0
430,30,8,0,0,45950,41400,0,0
430,31,8,0,0,50550,50550,0,0
430,32,8,0,0,50600,50600,0,0
430,33,8,0,0,51200,51200,0,0
430,34,8,0,0,51600,51600,0,0
430,35,8,0,0,51950,51950,0,0
430,36,8,0,0,53450,53450,0,0
430,36,9,0,0,53650,53450,0,0
430,37,9,0,0,54200,54200,0,0
430,38,9,0,0,55650,55650,0,0
430,38,10,0,0,56250,55650,0,0
430,38,11,0,0,56850,55650,0,0
430,38,12,0,0,57150,55650,0,0
430,39,12,0,0,57500,57500,0,0
430,39,13,0,0,57750,57500,0,0
430,40,13,0,0,57850,57850,0,0
430,41,13,0,0,58600,58600,0,0
430,42,13,0,0,59150,59150,0,0
430,42,14,0,0,59600,59150,0,0
430,42,16,0,0,62400,59150,0,0
430,43,16,0,0,62450,62450,0,0
430,44,16,0,0,62600,62600,0,0
430,45,16,0,0,63000,63000,0,0
430,46,16,0,0,64850,64850,0,0
430,47,16,0,0,65150,65150,0,0
430,48,16,0,0,65950,65950,0,0
430,49,16,0,0,66600,66600,0,0
430,49,17,0,0,67750,66600,0,0
430,50,17,0,0,68550,68550,0,0
430,51,18,0,0,68700,68700,0,0
430,51,19,0,0,69100,68700,0,0
430,52,19,0,0,69300,69300,0,0
430,52,20,0,0,70500,69300,0,0
430,52,20,1,0,72450,69300,72450,0
430,53,20,1,0,73000,73000,72450,0
430,53,21,1,0,73450,73000,72450,0
430,53,22,1,0,75750,73000,72450,0
430,54,22,1,0,76600,76600,72450,0
430,55,22,1,0,76750,76750,72450,0
430,56,22,1,0,77650,77650,72450,0
